epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.983,2.72713,4.28277,1.74443,0,0,0,0,2.30586,4.15736,1.74707,3.334e-05,3.334e-05,3.334e-05
2,177.532,2.6343,4.10659,1.64214,0,0,0,0,2.26412,4.13051,1.68567,8.16997e-05,8.16997e-05,8.16997e-05
3,216.84,2.41945,3.97888,1.53234,0,0,0,0,2.20537,4.09497,1.62273,0.000128079,0.000128079,0.000128079
4,258.467,2.28458,3.86592,1.43933,0.00414,0.06944,0.00239,0.00098,2.15731,4.03535,1.53833,0.000172478,0.000172478,0.000172478
5,290.605,2.21661,3.70349,1.45643,0.00556,0.09722,0.00339,0.0015,2.11811,4.01493,1.50341,0.000214896,0.000214896,0.000214896
6,335.858,2.30988,3.57386,1.3968,0.01229,0.22222,0.00901,0.00371,2.1146,3.86696,1.41907,0.000255334,0.000255334,0.000255334
7,376.545,2.38389,3.33849,1.37088,0.01177,0.20833,0.00851,0.00396,2.05068,3.80886,1.38948,0.000293792,0.000293792,0.000293792
8,409.746,2.10795,2.98873,1.32378,0.01097,0.19444,0.00778,0.00354,2.07352,3.75744,1.39464,0.000330269,0.000330269,0.000330269
9,450.388,2.11168,2.61387,1.26607,0.00471,0.08333,0.00333,0.001,2.09692,3.65225,1.38031,0.000364766,0.000364766,0.000364766
10,486.599,2.26447,2.51487,1.26322,0.0069,0.125,0.0605,0.02587,2.16352,3.51424,1.41352,0.000397283,0.000397283,0.000397283
11,527.654,2.25018,2.50812,1.27122,0.01114,0.22222,0.12731,0.04775,2.15812,3.39337,1.41867,0.000427819,0.000427819,0.000427819
12,562.083,2.05773,2.39463,1.32137,0.01255,0.26389,0.13849,0.04797,2.11472,3.31665,1.41822,0.000456375,0.000456375,0.000456375
13,592.354,2.0944,2.2764,1.28255,0.01153,0.26768,0.14753,0.04789,2.02605,3.27742,1.38433,0.00048295,0.00048295,0.00048295
14,632.208,2.15779,2.31785,1.2771,0.01381,0.30934,0.11123,0.04886,2.03077,3.25586,1.42674,0.000507545,0.000507545,0.000507545
15,662.747,2.12447,2.39868,1.24532,0.01381,0.30934,0.11123,0.04886,2.03077,3.25586,1.42674,0.000530159,0.000530159,0.000530159
16,695.733,2.21629,2.28233,1.25133,0.01106,0.2399,0.1697,0.06594,2.03319,3.24912,1.44785,0.000550793,0.000550793,0.000550793
